,Individual,DAPC.group,Latitude,Longitude,Korea.N.China,Yangtze.Qinling,Central.Japan,North.Japan,SE.China,South.Japan,Msa,Sichuan
143,EBI-2008-47e,N Japan,43.7,142.4,0,0,0,1,0,0,0,0
144,EBI-2008-48a,N Japan,43.6,142.4,0,0,0,1,0,0,0,0
145,EBI-2008-48b,N Japan,43.6,142.4,0,0,0,1,0,0,0,0
146,EBI-2008-48c,N Japan,43.6,142.4,0,0,0,1,0,0,0,0
147,EBI-2008-48d,N Japan,43.6,142.4,0,0,0,1,0,0,0,0
148,EBI-2008-48e,N Japan,43.6,142.4,0,0,0,1,0,0,0,0
149,EBI-2008-50a,N Japan,43.5,142.6,0,0,0,1,0,0,0,0
150,EBI-2008-50b,N Japan,43.5,142.6,0,0,0,1,0,0,0,0
151,EBI-2008-50c,N Japan,43.5,142.6,0,0,0,1,0,0,0,0
152,EBI-2008-50d,N Japan,43.5,142.6,0,0,0,1,0,0,0,0
153,EBI-2008-50e,N Japan,43.5,142.6,0,0,0,1,0,0,0,0
154,EBI-2008-51e,N Japan,43.5,142.7,0,0,0,1,0,0,0,0
155,EBI-2008-52b,N Japan,43.2,142.5,0,0,0,1,0,0,0,0
156,EBI-2008-52c,N Japan,43.2,142.5,0,0,0,1,0,0,0,0
157,EBI-2008-52d,N Japan,43.2,142.5,0,0,0,1,0,0,0,0
158,EBI-2008-52e,N Japan,43.2,142.5,0,0,0,1,0,0,0,0
159,EBI-2008-54a,N Japan,42.6,143.1,0,0,0,1,0,0,0,0
160,EBI-2008-54b,N Japan,42.6,143.1,0,0,0,1,0,0,0,0
161,EBI-2008-54c,N Japan,42.6,143.1,0,0,0,1,0,0,0,0
162,EBI-2008-54d,N Japan,42.6,143.1,0,0,0,1,0,0,0,0
163,EBI-2008-54e,N Japan,42.6,143.1,0,0,0,1,0,0,0,0
164,EBI-2008-55a,N Japan,43.2,143.1,0,0,0,1,0,0,0,0
165,EBI-2008-55b,N Japan,43.2,143.1,0,0,0,1,0,0,0,0
166,EBI-2008-55c,N Japan,43.2,143.1,0,0,0,1,0,0,0,0
167,EBI-2008-55d,N Japan,43.2,143.1,0,0,0,1,0,0,0,0
168,EBI-2008-55e,N Japan,43.2,143.1,0,0,0,1,0,0,0,0
169,EBI-2008-56a,Msa,43.2,143.6,0,0,0,0,0,0,1,0
170,EBI-2008-56c,Msa,43.2,143.6,0,0,0,0,0,0,1,0
171,EBI-2008-56e,Msa,43.2,143.6,0,0,0,0,0,0,1,0
172,EBI-2008-58b,N Japan,42.5,143.4,0,0,0,1,0,0,0,0
173,EBI-2008-58c,N Japan,42.5,143.4,0,0,0,1,0,0,0,0
174,EBI-2008-58d,N Japan,42.5,143.4,0,0,0,0.9,0,0,0,0
175,EBI-2008-58e,N Japan,42.5,143.4,0,0,0,1,0,0,0,0
176,EBI-2008-59d,N Japan,42.4,143.3,0,0,0,1,0,0,0,0
177,EBI-2008-59e,N Japan,42.4,143.3,0,0,0,1,0,0,0,0
178,EBI-2008-61a,N Japan,42,143.3,0,0,0.1,0.9,0,0,0,0
179,EBI-2008-61b,N Japan,42,143.3,0,0,0.1,0.9,0,0,0,0
180,EBI-2008-61c,N Japan,42,143.3,0,0,0,1,0,0,0,0
181,EBI-2008-61d,N Japan,42,143.3,0,0,0,1,0,0,0,0
182,EBI-2008-62a,N Japan,42,143.3,0,0,0.1,0.9,0,0,0,0
183,EBI-2008-62b,N Japan,42,143.3,0,0,0.1,0.9,0,0,0,0
184,EBI-2008-62c,N Japan,42,143.3,0,0,0.1,0.9,0,0,0,0
185,EBI-2008-62d,N Japan,42,143.3,0,0,0,1,0,0,0,0
186,EBI-2008-62e,N Japan,42,143.3,0,0,0.1,0.9,0,0,0,0
187,EBI-2008-64a,N Japan,41.9,143.2,0,0,0.1,0.9,0,0,0,0
188,EBI-2008-65a,N Japan,42,143.1,0,0,0.1,0.9,0,0,0,0
189,EBI-2008-66a,N Japan,42.1,142.9,0,0,0,0.9,0,0,0,0
190,EBI-2008-66b,N Japan,42.1,142.9,0,0,0,1,0,0,0,0
191,EBI-2008-66d,N Japan,42.1,142.9,0,0,0,0.9,0,0,0,0
192,EBI-2008-66e,S Japan,42.1,142.9,0,0,0.1,0,0,0.9,0,0
193,EBI-2008-67a,S Japan,33.5,130.5,0,0,0.1,0,0,0.9,0,0
194,EBI-2008-67b,S Japan,33.5,130.5,0,0,0.1,0,0,0.8,0,0
195,EBI-2008-67c,S Japan,33.5,130.5,0,0,0.1,0,0,0.9,0,0
196,EBI-2008-67d,S Japan,33.5,130.5,0,0,0.1,0,0,0.9,0,0
197,EBI-2008-67e,S Japan,33.5,130.5,0,0,0.1,0,0,0.9,0,0
198,EBI-2008-68a,S Japan,33.5,130.5,0,0,0.1,0,0,0.9,0,0
