"","names","x","Ind.SNP","PC","Trait"
"117","max",0.0445477198626206,"OWA112","NOPC","OWA18 "
"118","range",0.265998918580622,"OWA112","NOPC","OWA18 "
"119","sum",-8.83788574137492,"OWA112","NOPC","OWA18 "
"120","median",-0.0889889315618776,"OWA112","NOPC","OWA18 "
"121","mean",-0.0883788574137492,"OWA112","NOPC","OWA18 "
"122","SE.mean",0.00512390651385941,"OWA112","NOPC","OWA18 "
"123","CI.mean.0.95",0.0101669421631439,"OWA112","NOPC","OWA18 "
"124","var",0.00262544179627709,"OWA112","NOPC","OWA18 "
"125","std.dev",0.0512390651385941,"OWA112","NOPC","OWA18 "
"126","coef.var",-0.579766096077893,"OWA112","NOPC","OWA18 "
"127","nbr.val",100,"OWA112","NOPC","OWA19 "
"128","nbr.null",0,"OWA112","NOPC","OWA19 "
"129","nbr.na",0,"OWA112","NOPC","OWA19 "
"130","min",-0.127835830220545,"OWA112","NOPC","OWA19 "
"131","max",0.123554085074194,"OWA112","NOPC","OWA19 "
"132","range",0.251389915294739,"OWA112","NOPC","OWA19 "
"133","sum",-2.08985790647723,"OWA112","NOPC","OWA19 "
"134","median",-0.021748461549654,"OWA112","NOPC","OWA19 "
"135","mean",-0.0208985790647724,"OWA112","NOPC","OWA19 "
"136","SE.mean",0.00428955026992232,"OWA112","NOPC","OWA19 "
"137","CI.mean.0.95",0.00851139836026196,"OWA112","NOPC","OWA19 "
"138","var",0.00184002415181906,"OWA112","NOPC","OWA19 "
"139","std.dev",0.0428955026992232,"OWA112","NOPC","OWA19 "
"140","coef.var",-2.0525559448934,"OWA112","NOPC","OWA19 "
"141","nbr.val",100,"OWA112","PC1","OWA18 "
"142","nbr.null",0,"OWA112","PC1","OWA18 "
"143","nbr.na",0,"OWA112","PC1","OWA18 "
"144","min",-0.22141663246217,"OWA112","PC1","OWA18 "
"145","max",0.019248376303482,"OWA112","PC1","OWA18 "
"146","range",0.240665008765652,"OWA112","PC1","OWA18 "
"147","sum",-10.7153645441979,"OWA112","PC1","OWA18 "
"148","median",-0.103308870100954,"OWA112","PC1","OWA18 "
"149","mean",-0.107153645441979,"OWA112","PC1","OWA18 "
"150","SE.mean",0.00525734900713781,"OWA112","PC1","OWA18 "
"151","CI.mean.0.95",0.0104317210203689,"OWA112","PC1","OWA18 "
"152","var",0.00276397185828529,"OWA112","PC1","OWA18 "
"153","std.dev",0.0525734900713781,"OWA112","PC1","OWA18 "
"154","coef.var",-0.490636504754711,"OWA112","PC1","OWA18 "
"155","nbr.val",100,"OWA112","PC1","OWA19 "
"156","nbr.null",0,"OWA112","PC1","OWA19 "
"157","nbr.na",0,"OWA112","PC1","OWA19 "
"158","min",-0.30118049311634,"OWA112","PC1","OWA19 "
"159","max",0.0693673969157204,"OWA112","PC1","OWA19 "
"160","range",0.37054789003206,"OWA112","PC1","OWA19 "
"161","sum",-8.82380778766282,"OWA112","PC1","OWA19 "
"162","median",-0.0782440155742499,"OWA112","PC1","OWA19 "
"163","mean",-0.0882380778766282,"OWA112","PC1","OWA19 "
"164","SE.mean",0.00607868920482797,"OWA112","PC1","OWA19 "
"165","CI.mean.0.95",0.012061438163645,"OWA112","PC1","OWA19 "
"166","var",0.00369504624488921,"OWA112","PC1","OWA19 "
"167","std.dev",0.0607868920482797,"OWA112","PC1","OWA19 "
"168","coef.var",-0.688896375703809,"OWA112","PC1","OWA19 "
"169","nbr.val",100,"OWA112","PC1~2","OWA18 "
"170","nbr.null",0,"OWA112","PC1~2","OWA18 "
"171","nbr.na",0,"OWA112","PC1~2","OWA18 "
"172","min",-0.241456760828308,"OWA112","PC1~2","OWA18 "
"173","max",0.0358706192839519,"OWA112","PC1~2","OWA18 "
"174","range",0.27732738011226,"OWA112","PC1~2","OWA18 "
"175","sum",-10.1068383256908,"OWA112","PC1~2","OWA18 "
"176","median",-0.0992376445363809,"OWA112","PC1~2","OWA18 "
"177","mean",-0.101068383256908,"OWA112","PC1~2","OWA18 "
"178","SE.mean",0.00487092440265142,"OWA112","PC1~2","OWA18 "
"179","CI.mean.0.95",0.00966497076963689,"OWA112","PC1~2","OWA18 "
"180","var",0.00237259045363451,"OWA112","PC1~2","OWA18 "
"181","std.dev",0.0487092440265142,"OWA112","PC1~2","OWA18 "
"182","coef.var",-0.481943437273543,"OWA112","PC1~2","OWA18 "
"183","nbr.val",100,"OWA112","PC1~2","OWA19 "
"184","nbr.null",0,"OWA112","PC1~2","OWA19 "
"185","nbr.na",0,"OWA112","PC1~2","OWA19 "
"186","min",-0.300778278528083,"OWA112","PC1~2","OWA19 "
"187","max",0.15008691816711,"OWA112","PC1~2","OWA19 "
"188","range",0.450865196695193,"OWA112","PC1~2","OWA19 "
"189","sum",-10.1623267006791,"OWA112","PC1~2","OWA19 "
"190","median",-0.0946735295261157,"OWA112","PC1~2","OWA19 "
"191","mean",-0.101623267006791,"OWA112","PC1~2","OWA19 "
"192","SE.mean",0.00773221289361639,"OWA112","PC1~2","OWA19 "
"193","CI.mean.0.95",0.0153423878967887,"OWA112","PC1~2","OWA19 "
"194","var",0.00597871162322076,"OWA112","PC1~2","OWA19 "
"195","std.dev",0.0773221289361639,"OWA112","PC1~2","OWA19 "
"196","coef.var",-0.760870332293065,"OWA112","PC1~2","OWA19 "
"197","nbr.val",100,"OWA112","PC1~3","OWA18 "
"198","nbr.null",0,"OWA112","PC1~3","OWA18 "
"199","nbr.na",0,"OWA112","PC1~3","OWA18 "
"200","min",-0.287047283152506,"OWA112","PC1~3","OWA18 "
"201","max",0.00297429211241631,"OWA112","PC1~3","OWA18 "
"202","range",0.290021575264922,"OWA112","PC1~3","OWA18 "
"203","sum",-13.3641266438702,"OWA112","PC1~3","OWA18 "
"204","median",-0.133971450277789,"OWA112","PC1~3","OWA18 "
"205","mean",-0.133641266438702,"OWA112","PC1~3","OWA18 "
"206","SE.mean",0.00543521262272946,"OWA112","PC1~3","OWA18 "
"207","CI.mean.0.95",0.0107846410214963,"OWA112","PC1~3","OWA18 "
"208","var",0.00295415362542777,"OWA112","PC1~3","OWA18 "
"209","std.dev",0.0543521262272946,"OWA112","PC1~3","OWA18 "
"210","coef.var",-0.406701669893442,"OWA112","PC1~3","OWA18 "
"211","nbr.val",100,"OWA112","PC1~3","OWA19 "
"212","nbr.null",0,"OWA112","PC1~3","OWA19 "
"213","nbr.na",0,"OWA112","PC1~3","OWA19 "
"214","min",-0.304299822008914,"OWA112","PC1~3","OWA19 "
"215","max",0.00211537837390124,"OWA112","PC1~3","OWA19 "
"216","range",0.306415200382815,"OWA112","PC1~3","OWA19 "
"217","sum",-14.4331495417164,"OWA112","PC1~3","OWA19 "
"218","median",-0.138675755902776,"OWA112","PC1~3","OWA19 "
"219","mean",-0.144331495417164,"OWA112","PC1~3","OWA19 "
"220","SE.mean",0.00650048039233436,"OWA112","PC1~3","OWA19 "
"221","CI.mean.0.95",0.012898363387925,"OWA112","PC1~3","OWA19 "
"222","var",0.00422562453311235,"OWA112","PC1~3","OWA19 "
"223","std.dev",0.0650048039233436,"OWA112","PC1~3","OWA19 "
"224","coef.var",-0.450385438988621,"OWA112","PC1~3","OWA19 "
"225","nbr.val",100,"OWA122","NOPC","OWA18 "
"226","nbr.null",0,"OWA122","NOPC","OWA18 "
"227","nbr.na",0,"OWA122","NOPC","OWA18 "
"228","min",-0.0621851321778899,"OWA122","NOPC","OWA18 "
"229","max",0.213129509785705,"OWA122","NOPC","OWA18 "
"230","range",0.275314641963595,"OWA122","NOPC","OWA18 "
"231","sum",11.7542214792491,"OWA122","NOPC","OWA18 "
"232","median",0.12321165366997,"OWA122","NOPC","OWA18 "
"233","mean",0.117542214792491,"OWA122","NOPC","OWA18 "
"234","SE.mean",0.00549390195926343,"OWA122","NOPC","OWA18 "
