Entry1,filename,Effect,Estimate,StdErr,DF,tValue,Probt,Alpha,Lower,Upper,lambda,BackLSmeans,Backupper.CL,Backlower.CL,Individual,DAPC.group,Latitude,Longitude,group
M. sinensis  'Mysterious Maiden',CmN,Entry1,3.172787509,0.313529848,132,10.11957084,0,0.05,2.55259448,3.792980539,0.325,8.849166385,11.83955556,6.41571015,UI10-00073,Ornamental,NA,NA,M. sinensis
M. sinensis  'Nippon',CmN,Entry1,3.888151342,0.313529848,132,12.40121592,0,0.05,3.267958313,4.508344372,0.325,12.35151913,16.05851615,9.270391131,UI10-00074,Ornamental,NA,NA,M. sinensis
M. sinensis  'November Sunset',CmN,Entry1,2.528655229,0.227477416,132,11.11607155,0,0.05,2.078682416,2.978628042,0.325,6.332134146,8.030255072,4.894771546,UI10-00075,Ornamental,NA,NA,M. sinensis
M. sinensis  'Positano',CmN,Entry1,2.338836724,0.220278806,132,10.61762032,0,0.05,1.903103473,2.774569975,0.325,5.695294292,7.226420764,4.39977865,UI11-00009,Ornamental,NA,NA,M. sinensis
M. sinensis  'Puenktchen (Little Dot)',CmN,Entry1,1.943969458,0.418394903,132,4.646255111,8.08E-06,0.05,1.116342984,2.771595932,0.325,4.511818829,7.215125635,2.592080912,UI10-00078,Ornamental,NA,NA,M. sinensis
M. sinensis  'Rigoletto',CmN,Entry1,2.616075035,0.227476536,132,11.50041705,0,0.05,2.166103962,3.066046107,0.325,6.64093035,8.392322155,5.154676449,UI10-00079,Ornamental,NA,NA,M. sinensis
M. sinensis  'Roland',CmN,Entry1,2.879808483,0.251766138,132,11.43842658,0,0.05,2.381790178,3.377826789,0.325,7.63383447,9.773256959,5.835428419,UI10-00080,Ornamental,NA,NA,M. sinensis
M. sinensis  'Roter Pfeil (Red Arrow',CmN,Entry1,2.630914846,0.214304925,132,12.27650204,0,0.05,2.206998523,3.05483117,0.325,6.694338559,8.345268465,5.279390331,UI10-00081,Ornamental,NA,NA,M. sinensis
M. sinensis  'Rotsilber',CmN,Entry1,2.7909104,0.214304925,132,13.02308103,1.90E-25,0.05,2.366994076,3.214826723,0.325,7.288693135,9.033601703,5.78689695,UI10-00082,Ornamental,NA,NA,M. sinensis
M. sinensis  'Sarabande',CmN,Entry1,2.099512811,0.237949032,132,8.823371923,0,0.05,1.628826106,2.570199517,0.325,4.955878115,6.477645247,3.695980325,UI10-00083,Ornamental,NA,NA,M. sinensis
M. sinensis  'Silberfeder (Silver Feather)'--UI10-00084,CmN,Entry1,3.328932656,0.214304925,132,15.53362649,1.37E-31,0.05,2.905016332,3.752848979,0.325,9.547254651,11.62803607,7.733672129,UI10-00084,Ornamental,NA,NA,M. sinensis
M. sinensis  'Silberfeder (Silver Feather)'--UI10-00085,CmN,Entry1,3.127204607,0.214304925,132,14.59231332,2.57E-29,0.05,2.703288284,3.551120931,0.325,8.652074919,10.6033303,6.958968365,UI10-00085,Ornamental,NA,NA,M. sinensis
M. sinensis  'Silberfeil (Silver Arrow)',CmN,Entry1,3.26257629,0.227476536,132,14.34247394,1.05E-28,0.05,2.812605217,3.712547363,0.325,9.246216819,11.41820226,7.371929092,UI10-00086,Ornamental,NA,NA,M. sinensis
M. sinensis  'Silberspinne (Silver Spider)',CmN,Entry1,2.260877863,0.418394903,132,5.403693604,2.95E-07,0.05,1.433251389,3.088504337,0.325,5.446791141,8.48708625,3.243435304,UI10-00087,Ornamental,NA,NA,M. sinensis
M. sinensis  'Silberturm (Silver Tower)',CmN,Entry1,3.54686959,0.227482328,132,15.59184672,9.93E-32,0.05,3.09688706,3.996852119,0.325,10.5824176,12.95430743,8.522642033,UI10-00088,Ornamental,NA,NA,M. sinensis
