#pacId	locusName	transcriptName	peptideName	Pfam	Panther	KOG	ec	KO	GO	Best-hit-arabi-name	arabi-symbol	arabi-defline	Best-hit-rice-name	rice-symbol	rice-defline
37939777	Sobic.001G004600	Sobic.001G004600.1	Sobic.001G004600.1.p	PF05641,PF05266	PTHR31917,PTHR31917:SF15					AT1G26540.1		Agenet domain-containing protein	LOC_Os11g19730.1		expressed protein
37938972	Sobic.001G004700	Sobic.001G004700.1	Sobic.001G004700.1.p		PTHR35106					AT1G65000.1			LOC_Os03g64060.1		expressed protein
37938283	Sobic.001G004800	Sobic.001G004800.1	Sobic.001G004800.1.p	PF03629	PTHR31988,PTHR31988:SF3					AT3G53010.1		Domain of unknown function (DUF303) 	LOC_Os03g64050.1		receptor protein kinase, putative, expressed
37939574	Sobic.001G004901	Sobic.001G004901.1	Sobic.001G004901.1.p		PTHR32370,PTHR32370:SF17				GO:0009638,GO:0004871	AT2G30520.1	RPT2	Phototropic-responsive NPH3 family protein	LOC_Os12g02530.2		BTBN22 - Bric-a-Brac, Tramtrack, Broad Complex BTB domain with non-phototropic hypocotyl 3 NPH3 and coiled-coil domains, expressed
37943264	Sobic.001G005000	Sobic.001G005000.1	Sobic.001G005000.1.p	PF03629	PTHR31988,PTHR31988:SF1					AT4G34215.2		Domain of unknown function (DUF303) 	LOC_Os03g64030.1		receptor protein kinase, putative, expressed
37943265	Sobic.001G005000	Sobic.001G005000.2	Sobic.001G005000.2.p	PF03629	PTHR31988,PTHR31988:SF1					AT4G34215.2		Domain of unknown function (DUF303) 	LOC_Os03g64030.1		receptor protein kinase, putative, expressed
37945283	Sobic.001G005100	Sobic.001G005100.1	Sobic.001G005100.1.p	PF17047,PF00168	PTHR10774,PTHR10774:SF51				GO:0005515,GO:0006950,GO:0006355	AT3G61050.1	NTMC2T4,NTMC2TYPE4	Calcium-dependent lipid-binding (CaLB domain) family protein	LOC_Os07g22640.1		lipid binding protein, putative, expressed
37940599	Sobic.001G005200	Sobic.001G005200.2	Sobic.001G005200.2.p		PTHR31032,PTHR31032:SF3					AT4G22890.4	PGR5-LIKE A	PGR5-LIKE A	LOC_Os03g64020.2		expressed protein
37940600	Sobic.001G005200	Sobic.001G005200.3	Sobic.001G005200.3.p		PTHR31032,PTHR31032:SF3					AT4G22890.4	PGR5-LIKE A	PGR5-LIKE A	LOC_Os03g64020.2		expressed protein
37940601	Sobic.001G005200	Sobic.001G005200.4	Sobic.001G005200.4.p		PTHR31032,PTHR31032:SF3					AT4G22890.4	PGR5-LIKE A	PGR5-LIKE A	LOC_Os03g64020.2		expressed protein
37939677	Sobic.001G005300	Sobic.001G005300.1	Sobic.001G005300.1.p	PF14226,PF03171	PTHR10209,PTHR10209:SF140	KOG0143	1.14.11.13	K05282	GO:0055114,GO:0016491	AT5G51810.1	AT2353,ATGA20OX2,GA20OX2	gibberellin 20 oxidase 2	LOC_Os03g63970.1		gibberellin 20 oxidase 1, putative, expressed
37939136	Sobic.001G005400	Sobic.001G005400.2	Sobic.001G005400.2.p												
37939137	Sobic.001G005400	Sobic.001G005400.3	Sobic.001G005400.3.p												
37939138	Sobic.001G005400	Sobic.001G005400.4	Sobic.001G005400.4.p												
37939139	Sobic.001G005400	Sobic.001G005400.5	Sobic.001G005400.5.p												
37939246	Sobic.001G005500	Sobic.001G005500.1	Sobic.001G005500.1.p	PF02482,PF16321	PTHR33231,PTHR33231:SF1				GO:0044238	AT5G24490.1		30S ribosomal protein, putative	LOC_Os03g63950.1		plastid-specific 30S ribosomal protein 1, chloroplast precursor, putative, expressed
37938401	Sobic.001G005600	Sobic.001G005600.1	Sobic.001G005600.1.p	PF00571,PF16561	PTHR13780,PTHR13780:SF54	KOG1764				AT1G09020.1	ATSNF4,SNF4	homolog of yeast sucrose nonfermenting 4	LOC_Os03g63940.1		CBS domain containing membrane protein, putative, expressed
37939556	Sobic.001G005700	Sobic.001G005700.1	Sobic.001G005700.1.p	PF00550	PTHR20863:SF34,PTHR20863	KOG1748				AT3G05020.1	ACP,ACP1	acyl carrier protein 1	LOC_Os03g63930.1		acyl carrier protein, putative, expressed
