Effect,Entry1,Estimate,StdErr,DF,tValue,Probt,Alpha,Lower,Upper,filename
Entry1,Miscanthus sinensis  'PMS-161',17.25193608,0.80576504,132,21.41062869,9.04E-45,0.05,15.65805318,18.84581897,Lsmean.Bcirc.xlsx
Entry1,Miscanthus sinensis  'PMS-164',15.66258471,0.704407401,132,22.23512231,1.81E-46,0.05,14.26919725,17.05597218,Lsmean.Bcirc.xlsx
Entry1,Miscanthus sinensis  'PMS-204',17.30000786,0.704407401,132,24.55966226,4.56E-51,0.05,15.9066204,18.69339533,Lsmean.Bcirc.xlsx
Entry1,Miscanthus sinensis  'PMS-226',16.75577474,0.704407401,132,23.78705096,1.43E-49,0.05,15.36238728,18.14916221,Lsmean.Bcirc.xlsx
Entry1,Miscanthus sinensis  'PMS-227',19.05547209,0.704407401,132,27.05177723,1.07E-55,0.05,17.66208463,20.44885956,Lsmean.Bcirc.xlsx
Entry1,Miscanthus sinensis  'PMS-300',20.466105,0.704407401,132,29.05435828,3.32E-59,0.05,19.07271754,21.85949247,Lsmean.Bcirc.xlsx
Entry1,Miscanthus sinensis  'PMS-303',17.49978881,0.805849468,132,21.71595255,2.10E-45,0.05,15.90573891,19.0938387,Lsmean.Bcirc.xlsx
Entry1,Miscanthus sinensis  'PMS-359',19.19870093,0.805752305,132,23.82705059,1.20E-49,0.05,17.60484323,20.79255864,Lsmean.Bcirc.xlsx
Entry1,Miscanthus sinensis  'PMS-375',13.14428197,1.368867196,132,9.6023062,0,0.05,10.43652735,15.85203658,Lsmean.Bcirc.xlsx
Entry1,Miscanthus sinensis  'PMS-381',23.35140202,0.878221729,132,26.58941502,7.36E-55,0.05,21.61419263,25.0886114,Lsmean.Bcirc.xlsx
Entry1,Miscanthus sinensis  'PMS-382',20.30013775,0.80576504,132,25.19361942,2.84E-52,0.05,18.70625486,21.89402065,Lsmean.Bcirc.xlsx
Entry1,Miscanthus sinensis  'PMS-425',16.53017326,0.805849468,132,20.51273088,7.06E-43,0.05,14.93612336,18.12422316,Lsmean.Bcirc.xlsx
Entry1,Miscanthus sinensis  'PMS-436',13.95484986,1.122126944,132,12.43607057,5.55E-24,0.05,11.73517185,16.17452787,Lsmean.Bcirc.xlsx
Entry1,Miscanthus sinensis  'PMS-438',14.57904521,0.704407401,132,20.69689386,2.87E-43,0.05,13.18565775,15.97243268,Lsmean.Bcirc.xlsx
Entry1,Miscanthus sinensis  'Zwergelefant',14.55797098,0.704407401,132,20.66697619,3.32E-43,0.05,13.16458352,15.95135845,Lsmean.Bcirc.xlsx
Entry1,NC-2010-001 B,16.31690362,1.369314424,132,11.9161117,0,0.05,13.60826435,19.0255429,Lsmean.Bcirc.xlsx
Entry1,NC-2010-001-009,11.41692228,1.368867196,132,8.3404163,0,0.05,8.70916766,14.12467689,Lsmean.Bcirc.xlsx
Entry1,NC-2010-001-010,17.69412389,0.805819768,132,21.95791737,6.67E-46,0.05,16.10013274,19.28811504,Lsmean.Bcirc.xlsx
Entry1,NC-2010-001-B(44)-e,13.38689078,0.80576504,132,16.61388882,3.78E-34,0.05,11.79300789,14.98077368,Lsmean.Bcirc.xlsx
Entry1,NC-2010-001.5 C,13.26005375,0.805752305,132,16.45673698,8.83E-34,0.05,11.66619605,14.85391145,Lsmean.Bcirc.xlsx
Entry1,NC-2010-001.5-B(18)-a,13.57173626,1.369157114,132,9.912475441,0,0.05,10.86340816,16.28006436,Lsmean.Bcirc.xlsx
Entry1,NC-2010-002-001,8.155406853,1.368867196,132,5.95777799,2.20E-08,0.05,5.447652237,10.86316147,Lsmean.Bcirc.xlsx
Entry1,NC-2010-003 D,12.28813799,0.805849468,132,15.24867669,6.62E-31,0.05,10.69408809,13.88218789,Lsmean.Bcirc.xlsx
Entry1,NC-2010-003 E,13.06043364,1.369157114,132,9.53903209,0,0.05,10.35210554,15.76876174,Lsmean.Bcirc.xlsx
Entry1,NC-2010-004 E,6.757204058,1.368867196,132,4.936347424,2.36E-06,0.05,4.049449442,9.464958674,Lsmean.Bcirc.xlsx
Entry1,PA-2010-001-005,16.58526473,0.704407401,132,23.54498932,4.28E-49,0.05,15.19187727,17.97865219,Lsmean.Bcirc.xlsx
Entry1,PA-2010-002 E,10.7157339,1.368867196,132,7.828176411,0,0.05,8.00797928,13.42348851,Lsmean.Bcirc.xlsx
Entry1,PA-2010-002-004,15.2384655,0.749332483,132,20.33605356,1.68E-42,0.05,13.75621179,16.72071922,Lsmean.Bcirc.xlsx
Entry1,PA-2010-002-013,11.58669896,0.878231725,132,13.19321386,7.17E-26,0.05,9.849469801,13.32392812,Lsmean.Bcirc.xlsx
Entry1,PA-2010-002-015,11.36257645,1.368867196,132,8.300714983,0,0.05,8.65482183,14.07033106,Lsmean.Bcirc.xlsx
Entry1,PA-2010-002-B(3)-b,6.723901837,1.369157114,132,4.910979003,2.63E-06,0.05,4.015573736,9.432229938,Lsmean.Bcirc.xlsx
Entry1,PMS-009,18.44722785,0.704407401,132,26.18829363,3.99E-54,0.05,17.05384039,19.84061531,Lsmean.Bcirc.xlsx
Entry1,PMS-014,18.39893704,0.704407401,132,26.1197384,5.33E-54,0.05,17.00554958,19.7923245,Lsmean.Bcirc.xlsx
Entry1,PMS-038,19.46416372,0.704407401,132,27.63196937,9.90E-57,0.05,18.07077626,20.85755119,Lsmean.Bcirc.xlsx
Entry1,PMS-075,20.34051331,0.749332882,132,27.14482948,7.31E-56,0.05,18.8582588,21.82276781,Lsmean.Bcirc.xlsx
Entry1,PMS-134,15.91815203,0.704407401,132,22.59793411,3.32E-47,0.05,14.52476457,17.31153949,Lsmean.Bcirc.xlsx
Entry1,PMS-144,15.86123076,0.704407401,132,22.51712679,4.83E-47,0.05,14.4678433,17.25461822,Lsmean.Bcirc.xlsx
Entry1,PMS-159,15.02531872,0.805819768,132,18.64600411,8.41E-39,0.05,13.43132757,16.61930987,Lsmean.Bcirc.xlsx
Entry1,PMS-178,16.11907326,0.704407401,132,22.88316852,8.85E-48,0.05,14.7256858,17.51246072,Lsmean.Bcirc.xlsx
Entry1,PMS-183,16.74147104,0.704407401,132,23.76674495,1.57E-49,0.05,15.34808358,18.1348585,Lsmean.Bcirc.xlsx
Entry1,PMS-272,10.3451212,1.368867196,132,7.557432323,0,0.05,7.63736658,13.05287581,Lsmean.Bcirc.xlsx
Entry1,PMS-285,17.83677307,0.704407401,132,25.32167188,1.63E-52,0.05,16.44338561,19.23016054,Lsmean.Bcirc.xlsx
