Genotype,Species,DAPC group,Latitude,Longitude,South Japan,Central Japan,North Japan,Korea/N China,Sichuan,Yangtze-Qinling,SE China,Msa
KMS011,M. sinensis,Korea/N China,37.737,128.356,0.034,0.022,0,0.938,0,0.004,0.001,0
KMS014,M. sinensis,Korea/N China,37.14,127.696,0.021,0.001,0.01,0.947,0,0.017,0.002,0.002
KMS016,M. sinensis,Korea/N China,36.82,129.093,0.002,0,0.007,0.843,0.001,0.134,0.009,0.003
KMS018,M. sinensis,Korea/N China,36.919,128.454,0.096,0.001,0,0.892,0,0.011,0,0
KMS020,M. sinensis,Korea/N China,36.703,127.915,0.123,0,0,0.839,0,0.036,0.001,0
KMS024,M. sinensis,Korea/N China,35.895,127.356,0.129,0.002,0.001,0.82,0.001,0.048,0,0
KMS030,M. sinensis,Korea/N China,35.9,127.751,0.152,0.001,0,0.839,0.002,0.004,0.002,0
KMS031,M. sinensis,Korea/N China,37.259,128.481,0.072,0.001,0.003,0.895,0,0.026,0.001,0.001
KMS034,M. sinensis,Korea/N China,37.637,129.019,0.068,0.004,0.003,0.887,0,0.034,0.001,0.003
KMS036,M. sinensis,Korea/N China,37.197,129.036,0.11,0.001,0.002,0.877,0,0.004,0.001,0.004
KMS037,M. sinensis,Korea/N China,37.537,129.086,0.436,0.035,0.002,0.515,0,0.007,0.004,0
KMS038,M. sinensis,Korea/N China,37.201,128.95,0.075,0.001,0.001,0.89,0,0.024,0.006,0.003
KMS039,M. sinensis,Korea/N China,37.95,127.415,0.05,0.001,0.014,0.919,0.001,0.003,0.002,0.01
KMS040,M. sinensis,Korea/N China,37.978,127.526,0.059,0.001,0.006,0.907,0.002,0.022,0.001,0.003
KMS042,M. sinensis,Korea/N China,38.202,128.564,0.076,0,0,0.903,0,0.02,0.001,0
KMS044,M. sinensis,Korea/N China,38.187,128.014,0.023,0.001,0,0.948,0.001,0.017,0,0.009
KMS045,M. sinensis,Korea/N China,38.264,128.361,0.048,0.001,0.006,0.938,0.001,0.007,0,0
