,Individual,DAPC.group,Latitude,Longitude,Korea.N.China,Yangtze.Qinling,Central.Japan,North.Japan,SE.China,South.Japan,Msa,Sichuan,Entry1,group,Entry
489,NC-2010-003 D,US naturalized,35.6,-82.6,0,0,0.2,0,0,0.6,0,0,NC-2010-003 D,M. sinensis,105
497,NC-2010-003 E,US naturalized,35.6,-82.6,0,0,0.3,0,0,0.6,0,0,NC-2010-003 E,M. sinensis,106
505,NC-2010-004-B(37)-b,US naturalized,35.8,-82.5,0,0,0.4,0.1,0,0.5,0,0,NC-2010-004-B(37)-b,M. sinensis,111
513,NC-2010-004-B(37)-d,US naturalized,35.8,-82.5,0,0,0.2,0,0,0.6,0,0,NC-2010-004-B(37)-d,M. sinensis,112
521,NC-2010-004 E,US naturalized,35.8,-82.5,0,0,0.3,0,0.1,0.6,0,0,NC-2010-004 E,M. sinensis,110
529,OH-2009-001-B(20)-b,US naturalized,39.5,-81.3,0,0,0.3,0.1,0,0.5,0,0,OH-2009-001-B(20)-b,M. sinensis,113
537,OH-2009-001-B(20)-d,US naturalized,39.5,-81.3,0,0,0.3,0.1,0,0.5,0,0,OH-2009-001-B(20)-d,M. sinensis,114
545,PA-2010-001-005,US naturalized,40.1,-75.5,0,0,0.4,0.1,0,0.4,0,0,PA-2010-001-005,M. sinensis,115
553,PA-2010-001-B(63)-a,US naturalized,40.1,-75.5,0,0,0.3,0.1,0,0.5,0,0,PA-2010-001-B(63)-a,M. sinensis,116
561,PA-2010-001-B(63)-c,US naturalized,40.1,-75.5,0,0,0.4,0.1,0,0.4,0,0,PA-2010-001-B(63)-c,M. sinensis,117
569,PA-2010-002-004,US naturalized,40,-75.4,0,0,0.4,0.1,0,0.4,0,0,PA-2010-002-004,M. sinensis,119
577,PA-2010-002-013,US naturalized,40,-75.4,0,0,0.4,0.1,0,0.4,0,0,PA-2010-002-013,M. sinensis,120
585,PA-2010-002-015,US naturalized,40,-75.4,0,0,0.4,0.1,0,0.4,0,0,PA-2010-002-015,M. sinensis,121
593,PA-2010-002-B(3)-b,US naturalized,40,-75.4,0,0,0.4,0.1,0,0.4,0,0,PA-2010-002-B(3)-b,M. sinensis,122
601,PA-2010-002-B(3)-d,US naturalized,40,-75.4,0,0,0.2,0,0,0.7,0,0,PA-2010-002-B(3)-d,M. sinensis,123
609,PA-2010-002 E,US naturalized,40,-75.4,0,0,0.4,0.1,0,0.4,0,0,PA-2010-002 E,M. sinensis,118
617,PA-2010-003-B(20)-b,US naturalized,40,-75.4,0,0,0.4,0.1,0,0.4,0,0,PA-2010-003-B(20)-b,M. sinensis,124
625,PA-2010-003-B(20)-c,US naturalized,40,-75.4,0,0,0.4,0.1,0,0.4,0,0,PA-2010-003-B(20)-c,M. sinensis,125
633,PI230189,SE China/tropical,NA,NA,0,0,0,0,0.9,0,0,0.1,M. floridulus  'US56-0022-03',M. floridulus,10
641,PI294602,SE China/tropical,NA,NA,0,0,0,0,0.8,0,0,0.1,M. sinensis  'US64-0004-02',M. sinensis,78
649,PI294605,SE China/tropical,NA,NA,0,0,0.3,0,0.4,0.2,0,0.1,M. sinensis var. condensatus  'US64-0007-01',M. sinensis var. condensatus,85
657,PI295762,SE China/tropical,NA,NA,0,0,0,0,0.9,0,0,0.1,M. floridulus  'PI295762',M. floridulus,9
665,PI295764,SE China/tropical,NA,NA,0,0,0,0,0.9,0,0,0.1,M. sinensis  'Gracillimus'--PI295764,M. sinensis,38
673,PI302423,SE China/tropical,NA,NA,0,0,0.1,0,0.8,0,0,0.1,M. sp  'US64-0016-03',M. sp,91
681,PI417947,SE China/tropical,-9.5,147.1,0,0,0,0,0.8,0,0,0.1,M. floridulus  'NG77-022',M. floridulus,8
689,PI423566,SE China/tropical,NA,NA,0,0,0,0,0.8,0.1,0,0.1,M. sp  'M75-062',M. sp,90
697,UI10-00008,M. sacchariflorus 2x,NA,NA,0,0,0,0,0,0,1,0,M. sacchariflorus  'Hortico',M. sacchariflorus,11
705,UI10-00012,Ornamental,NA,NA,0,0,0.7,0,0,0.2,0,0,M. sinensis var. condensatus 'Cabaret',M. sinensis var. condensatus,86
713,UI10-00015,Ornamental,NA,NA,0,0,0.7,0.1,0,0.3,0,0,M. sinensis var. condensatus 'Cosmopolitan',M. sinensis var. condensatus,87
721,UI10-00017,Ornamental,NA,NA,0,0,0.3,0.1,0,0.6,0,0,M. sinensis var. condensatus--UI10-00017,M. sinensis,88
729,UI10-00019,M. xgiganteus 2x,NA,NA,0.4,0,0,0,0,0,0.6,0,M. sinensis var. purpurascens,M. sinensis var. purpurascens,89
737,UI10-00020,Ornamental,NA,NA,0,0,0.2,0,0.1,0.7,0,0,M. sinensis  'Adagio',M. sinensis,12
745,UI10-00021,Ornamental,NA,NA,0.1,0,0.2,0.2,0,0.3,0.2,0,M. sinensis  'Allegro',M. sinensis,13
753,UI10-00022,Ornamental,NA,NA,0,0,0.7,0.1,0,0.1,0,0,M. sinensis  'Altweibersommer',M. sinensis,14
761,UI10-00023,Ornamental,NA,NA,0,0,0.4,0.1,0,0.3,0.1,0,M. sinensis  'Andante',M. sinensis,15
769,UI10-00024,Ornamental,NA,NA,0,0,0.2,0,0.1,0.7,0,0,M. sinensis  'Arabesque',M. sinensis,16
