<phenotype>,Trait1,Trait2,Trait3,Trait4,Trait5,Trait6,Trait7,Trait8,Trait9,Trait10,Trait11,Trait12,Trait13,Trait14,Trait15,Trait16,Trait17,Trait18
UI10.00051.Gracillimus.Nana,-1.336714806,-37.15068248,-0.510394408,-0.611260368,-1.222836132,-4.236615479,-1.763686735,-0.999892407,-1.088584127,-0.040911785,0.203650188,-0.358716035,5.012433975,-0.000172883,-1.934169572,1.389286621,-1.698296677,-1.627400881
UI10.00052.Graziella,-2.002466764,-50.38815018,-0.985826428,-0.757689141,-0.517758238,-4.506513284,-2.983687789,-1.269010103,-1.397136209,-0.031148831,0.19722337,-0.413046856,7.486377546,0.000337607,-2.637642333,-1.406654046,-2.791907622,-2.219299444
UI10.00053.Grosse.Fontaine,0.091995085,16.18465645,0.28936657,0.075976045,-0.101728772,0.963337591,0.065053124,0.023564555,-0.079071289,-0.04019175,0.200877944,0.258203851,1.982443551,-0.000202703,0.046452485,0.852494917,0.203850796,0.039084896
UI10.00056.Huron.Blush,-1.530595096,-48.2144837,-0.368251646,-0.74283086,-0.629253895,-1.502568102,-2.150684484,-1.091531156,-1.087393837,-0.041705197,0.204605129,-1.048279117,2.886477109,-0.000134911,-2.104293411,-0.931405682,-1.614256845,-1.770542253
UI10.00057.Huron.Sentinel,-1.703036414,-50.15630874,-0.668492077,-0.617881725,-0.391407907,-0.566739865,-1.719928497,-1.153761948,-1.107105131,-0.031148831,0.189943926,0.351834093,1.774609227,-0.000200153,-2.248324788,-1.33454616,-2.059387205,-1.891729554
UI10.00060.July,-0.044362557,10.63667842,0.154138167,0.103026837,-0.296567598,0.474251128,-0.239018121,-0.147257322,-0.339207671,-0.041705197,0.204605129,-1.026119729,-1.792924827,-4.62362E-05,-0.238172698,1.189601149,0.082649829,-0.200397351
UI10.00061.Kaskade,0.171650136,20.74677521,0.12193711,-0.003976886,-0.038682708,0.316859145,-0.01818296,0.098940205,-0.095229762,-0.041705197,0.204605129,0.393124583,0.404436422,-0.000157461,0.030229869,0.804150402,0.090514717,0.025435265
UI10.00062.Kirk.Alexander,-0.376898318,-31.43412287,-0.081211981,0.03935618,0.054730343,-1.718733097,-0.916074995,-0.464319709,0.26977606,-0.034731053,0.189943926,-0.782266138,1.774609227,-0.000116225,-0.807365605,-0.925028933,-0.036772727,-0.679313497
UI10.00063.Kleine.Fontaine,-0.395762674,-14.21535004,0.034631818,-0.021050484,-0.611915339,-2.229743406,-0.954187671,-0.47792426,-0.643866283,-0.04019175,0.204990005,0.805567316,-1.238802764,-0.000141796,-0.911084863,0.756959517,-0.180616709,-0.766582377
UI10.00064.Kleine.Silberspinne,-1.788480978,-52.85741257,-0.879947929,-0.626824501,-0.6245871,-3.194977107,-2.447734859,-1.196789623,-1.461255313,-0.039158649,0.197742753,1.624656224,3.050276233,0.000166248,-2.385645434,-1.43244786,-2.220727163,-2.007270478
UI10.00066.Little.Nickey,0.794100748,37.70343175,0.333946768,0.307727788,0.120401659,-0.827358497,1.777451567,1.042329317,0.729830081,0.272410465,0.189943926,-1.383522643,-4.392517082,0.000320836,1.736215322,0.998130034,0.889114338,1.460843136
UI10.00070.Minuette,-0.189347701,-3.968445627,-0.179176438,-0.137756694,-0.024322999,-0.015600679,0.233134021,0.278425695,0.201629182,-0.041705197,0.204605129,0.031779123,-0.064171167,-0.000180012,0.34089316,-0.102220331,-0.403277808,0.286825849
UI10.00071.Morning.Light,1.000401043,32.52382902,0.527642121,0.539731523,0.027693477,-1.318756503,1.484858649,0.868211179,0.70726037,-0.031148831,0.19722337,-0.013265227,-4.251505332,0.000146647,1.479281906,1.029651188,1.383769301,1.244660609
UI10.00072.Mt.Washington,-1.62706461,-52.0887732,-0.729586292,-0.671024393,-0.72859648,-4.536285959,-2.379179667,-1.312171306,-1.226368625,-0.039795722,0.203675229,-0.169950409,3.54511332,-3.15114E-05,-2.7005332,-0.878444578,-2.035411741,-2.272215515
UI10.00073.Mysterious.Maiden,-0.525244324,-10.08123416,-0.056138734,-0.308449391,0.117069671,-2.410284206,-1.105740367,-0.755245915,NA,-0.035220681,0.194189463,-0.013265227,-2.959729531,0.000433291,-1.397525393,-0.495128776,-0.574721181,-1.175871076
UI10.00074.Nippon,0.574364233,4.151620315,0.086327839,0.36907252,0.617218716,-1.132225341,0.755848631,0.522117532,0.357139861,-0.031148831,0.189943926,-0.013265227,3.030277409,0.000433291,0.845054354,-0.816999263,0.740482502,0.711024628
UI10.00075.November.Sunset,-0.790292682,-21.27901293,-0.179334799,-0.484879847,-0.574919283,-0.076136697,-1.066217706,-0.547797161,-0.634460724,-0.04019175,0.203454808,0.542202728,3.043018508,-0.000196744,-0.98383876,0.22843198,-0.899815318,-0.827797153
UI10.00078.Puenktchen,-0.839796515,-24.45951011,-0.315880194,-0.155663734,-0.853775518,-2.848539292,-1.911605832,-1.53239362,NA,-0.022223037,0.178574245,0.351834093,NA,NA,-3.43428615,0.720108939,-0.93550937,-2.889591682
UI10.00079.Rigoletto,-1.404096494,-41.73537573,-0.497177235,-0.799013215,-0.492535554,-4.00657268,-2.001455759,-1.033481708,-0.93460517,-0.04019175,0.204990005,1.747890899,2.623636955,-0.000171616,-1.990110772,-0.954486285,-1.758223298,-1.674469535
UI10.00080.Roland,0.681225758,37.89071425,0.282777957,0.480270679,-0.240113343,1.336244167,0.027782539,0.056286615,0.114108913,0.145119047,0.202444464,-1.006162435,-1.067316812,-0.000157087,0.094720071,1.955185978,0.786874848,0.079697007
UI10.00081.Roter.Pfeil,-1.270377231,-28.06337907,-0.584716425,-0.659523609,-0.486188582,-1.368001988,-1.749671005,-1.151475127,-0.746890418,-0.041705197,0.204605129,1.46470027,4.024871088,-0.000119199,-2.272566176,-0.126590272,-1.884051245,-1.91212614
UI10.00082.Rotsilber,-0.116606294,7.379973041,-0.007339112,-0.017033264,-0.336081221,0.725578217,-0.064233561,-0.036226853,-0.07329443,-0.041705197,0.204605129,0.193824691,0.88029139,-0.000157461,-0.018237212,1.064152386,-0.197655684,-0.015344701
UI10.00083.Sarabande,-0.80958589,-26.97816263,-0.313119855,-0.331658332,-0.960818744,-2.865354011,-1.740837657,-0.934051742,-0.137404925,-0.038857381,0.203031227,0.772012069,-0.863625463,4.31673E-05,-1.821465189,1.422615701,-0.964746308,-1.53257196
UI10.00084.Silberfeder,0.075311191,-2.053178889,-0.167485822,0.002262753,0.16868969,-0.473431341,0.860684609,0.623722876,0.332410335,-0.041705197,0.204605129,0.701342349,-2.280658145,-0.000157461,1.008971629,-0.401609218,-0.100947024,0.848943827
