"<phenotype>","Trait1","Trait2","Trait3","Trait4","Trait5","Trait6","Trait7","Trait8","Trait9","Trait10","Trait11","Trait12","Trait13","Trait14","Trait15","Trait16","Trait17","Trait18"
"UI10.00060.July",-0.044362557,10.63667842,0.154138167,0.103026837,-0.296567598,0.474251128,-0.239018121,-0.147257322,-0.339207671,-0.041705197,0.204605129,-1.026119729,-1.792924827,-0.0000462,-0.238172698445801,1.18960114923472,0.0826498294964975,-0.200397351338447
"UI10.00061.Kaskade",0.171650136,20.74677521,0.12193711,-0.003976886,-0.038682708,0.316859145,-0.01818296,0.098940205,-0.095229762,-0.041705197,0.204605129,0.393124583,0.404436422,-0.000157461,0.0302298693900341,0.804150402170849,0.0905147168616734,0.0254352652440013
"UI10.00062.Kirk.Alexander",-0.376898318,-31.43412287,-0.081211981,0.03935618,0.054730343,-1.718733097,-0.916074995,-0.464319709,0.26977606,-0.034731053,0.189943926,-0.782266138,1.774609227,-0.000116225,-0.807365604840529,-0.925028932875898,-0.0367727266133554,-0.679313497463791
"UI10.00063.Kleine.Fontaine",-0.395762674,-14.21535004,0.034631818,-0.021050484,-0.611915339,-2.229743406,-0.954187671,-0.47792426,-0.643866283,-0.04019175,0.204990005,0.805567316,-1.238802764,-0.000141796,-0.911084863088676,0.756959517256473,-0.180616708563779,-0.766582377425573
"UI10.00064.Kleine.Silberspinne",-1.788480978,-52.85741257,-0.879947929,-0.626824501,-0.6245871,-3.194977107,-2.447734859,-1.196789623,-1.461255313,-0.039158649,0.197742753,1.624656224,3.050276233,0.000166248,-2.38564543412867,-1.43244786039275,-2.22072716298882,-2.00727047798516
"UI10.00066.Little.Nickey",0.794100748,37.70343175,0.333946768,0.307727788,0.120401659,-0.827358497,1.777451567,1.042329317,0.729830081,0.272410465,0.189943926,-1.383522643,-4.392517082,0.000320836,1.73621532165379,0.998130034224384,0.889114337809354,1.4608431364639
"UI10.00071.Morning.Light",1.000401043,32.52382902,0.527642121,0.539731523,0.027693477,-1.318756503,1.484858649,0.868211179,0.70726037,-0.031148831,0.19722337,-0.013265227,-4.251505332,0.000146647,1.47928190641936,1.02965118754338,1.38376930098611,1.24466060919885
"UI10.00072.Mt.Washington",-1.62706461,-52.0887732,-0.729586292,-0.671024393,-0.72859648,-4.536285959,-2.379179667,-1.312171306,-1.226368625,-0.039795722,0.203675229,-0.169950409,3.54511332,-0.0000315,-2.70053320047622,-0.878444578295654,-2.03541174071114,-2.27221551472211
"UI10.00073.Mysterious.Maiden",-0.525244324,-10.08123416,-0.056138734,-0.308449391,0.117069671,-2.410284206,-1.105740367,-0.755245915,NA,-0.035220681,0.194189463,-0.013265227,-2.959729531,0.000433291,-1.39752539305241,-0.495128776241507,-0.574721181443802,-1.1758710760738
"UI10.00074.Nippon",0.574364233,4.151620315,0.086327839,0.36907252,0.617218716,-1.132225341,0.755848631,0.522117532,0.357139861,-0.031148831,0.189943926,-0.013265227,3.030277409,0.000433291,0.84505435402247,-0.816999263015994,0.740482501908659,0.711024627871752
"UI10.00075.November.Sunset",-0.790292682,-21.27901293,-0.179334799,-0.484879847,-0.574919283,-0.076136697,-1.066217706,-0.547797161,-0.634460724,-0.04019175,0.203454808,0.542202728,3.043018508,-0.000196744,-0.98383875991436,0.228431980191409,-0.899815318123533,-0.827797152732805
"UI10.00078.Puenktchen",-0.839796515,-24.45951011,-0.315880194,-0.155663734,-0.853775518,-2.848539292,-1.911605832,-1.53239362,NA,-0.022223037,0.178574245,0.351834093,NA,NA,-3.4342861503238,0.720108938506303,-0.93550936959028,-2.88959168194881
"UI10.00079.Rigoletto",-1.404096494,-41.73537573,-0.497177235,-0.799013215,-0.492535554,-4.00657268,-2.001455759,-1.033481708,-0.93460517,-0.04019175,0.204990005,1.747890899,2.623636955,-0.000171616,-1.99011077229157,-0.95448628537051,-1.75822329766052,-1.67446953513965
"UI10.00080.Roland",0.681225758,37.89071425,0.282777957,0.480270679,-0.240113343,1.336244167,0.027782539,0.056286615,0.114108913,0.145119047,0.202444464,-1.006162435,-1.067316812,-0.000157087,0.0947200706676902,1.95518597834928,0.78687484778939,0.0796970072636022
"UI10.00081.Roter.Pfeil",-1.270377231,-28.06337907,-0.584716425,-0.659523609,-0.486188582,-1.368001988,-1.749671005,-1.151475127,-0.746890418,-0.041705197,0.204605129,1.46470027,4.024871088,-0.000119199,-2.27256617607116,-0.12659027232699,-1.8840512449341,-1.91212613961317
"UI10.00082.Rotsilber",-0.116606294,7.379973041,-0.007339112,-0.017033264,-0.336081221,0.725578217,-0.064233561,-0.036226853,-0.07329443,-0.041705197,0.204605129,0.193824691,0.88029139,-0.000157461,-0.018237211893252,1.06415238614499,-0.197655683933328,-0.015344701477528
"UI10.00083.Sarabande",-0.80958589,-26.97816263,-0.313119855,-0.331658332,-0.960818744,-2.865354011,-1.740837657,-0.934051742,-0.137404925,-0.038857381,0.203031227,0.772012069,-0.863625463,0.0000432,-1.82146518855103,1.42261570131287,-0.964746308391982,-1.53257196030854
"UI10.00084.Silberfeder",0.075311191,-2.053178889,-0.167485822,0.002262753,0.16868969,-0.473431341,0.860684609,0.623722876,0.332410335,-0.041705197,0.204605129,0.701342349,-2.280658145,-0.000157461,1.00897162911964,-0.401609218377341,-0.100947024124152,0.848943826806774
